n_sl,xi_0_sl,xi_inf_sl,h_0_sl_sl,error
19.495617122681093,12501219.089318454,10049378.533753015,8023306249.353397,459648986663860.56
45.045423179728395,10008978.326114539,18327554.736146957,4029445771.626467,1566828858513214.0
40.97681945968212,14944900.74806293,17858317.372058537,6504734970.458874,1486966633053337.0
20.11384091317845,14102490.879671244,22217715.065488555,1821318466.205833,2258367232857757.5
16.265625777656783,14777271.142365467,22635092.583397847,7322728070.720381,2294295740385005.5
28.20067050346132,12891284.898809614,19658207.418476347,6209823697.450558,1794042156345179.0
20.94178624257602,11356831.083163466,16262164.809859227,8612259361.271637,1209165117627079.0
19.9335031096843,9440595.964032333,15025093.111859955,6663332093.115583,1028267747480935.8
28.38061101152034,15431340.826612985,17721953.823092878,4516600230.314452,1457742878360371.0
63.64281073613434,14048182.8292325,33396250.136901267,9112421356.292648,5205061122151829.0
43.52309800070315,12513482.421290101,14968587.832118226,7277402637.081787,1044843573217590.9
26.748787730548614,15539796.747914676,12172062.97070833,8418044975.606436,685913238686542.8
23.598073505037487,14475919.623618433,12725176.22755875,9943708298.096058,746135590254449.6
16.944434304510906,9643594.091239149,10227321.122841056,7297033949.303236,467900378421141.75
29.813659589109406,16609179.473746965,19792204.26676711,3948983113.0585966,1819916296131224.2
73.45048351664757,16545994.73592823,46264954.90077529,8264117476.196756,9990839843533054.0
22.337498273852727,11830908.336006977,26725827.330182087,1408489814.2901058,3277521072582580.5
69.4100319012967,10812377.882054519,48887556.416561335,3469505797.724783,1.1111468282394312e+16
58.73508599058653,7677798.727921458,26069312.13603422,5894399899.950649,3171083441833533.5
35.678735131762714,13157612.811849143,37813962.38544656,5767489609.573806,6666063989197246.0
15.401231642695542,15323487.678434467,13117480.315729495,3034958792.085736,762950034218318.4
77.01383600211884,12765105.37395023,19225591.31790073,151346688.69933605,1628189242374052.0
33.25322361318245,16545218.163614778,30124914.67053045,6647530558.107616,4227263693848311.0
31.468887808960122,11685946.588557586,14004704.129308445,7500054491.889126,912048230310079.1
46.19741303403551,16368863.012907196,41164679.61734816,6796364146.902649,7910164060838801.0
75.20369574739486,12501219.089318454,10049378.533753015,7867291588.330695,470812076051104.6
70.50904680307045,10990633.897442805,32189871.631207667,179233631.99218273,4107176446174058.0
41.5341079403029,16383546.886698825,12668386.186548244,1977271251.023622,748023137473334.6
45.911878745249886,18511796.234329753,11545684.990718078,2987043257.127146,621340274280001.6
12.7065530674937,17750731.34845718,25857851.60172181,9828874117.44291,2857675145841422.5
23.073471597308256,7295525.049415467,13918682.574963588,2682275773.7568636,893493599531325.4
63.72863544635308,13563398.141123796,10595624.834149737,7756033908.073484,523507607863472.1
22.173467977383556,15698365.877111109,28435398.809910808,361428477.5344782,3592456648585077.5
39.389266211283235,8733496.180481974,22566524.299384747,3250605563.585061,2374326604167974.0
57.68896242326167,11127508.897650568,15052129.680393375,1026236668.5407958,1055198959419989.5
28.285082087169332,10847351.074906109,13151816.37945715,8095118979.376549,802659333059807.2
24.325407438455077,15618747.53906447,20644760.068767615,6965195098.762396,1968798257039068.2
34.543615752083966,18675292.47223885,19465691.526091024,5191948741.552046,1764533192168521.0
45.849799650542266,18052593.6701772,12533024.437658522,5801098053.050878,732377729051304.6
16.014947988533198,9810158.800132327,27307312.975014035,6047796619.31726,3343346781234986.0
59.417526325844904,12538679.578695849,19169799.377192434,6020418088.191866,1714258955522801.0
56.75156082380958,11161224.66988049,19115159.13160167,1197969837.3667173,1699569499049363.2
46.00308364009845,7302788.632932599,20546818.21630531,8566592706.801044,1969452012035283.5
33.800734231468454,16478697.482854301,13363275.393114252,3684844670.084768,830921771668362.0
55.53458321189687,10688124.309810957,15501133.607176948,9757921738.382223,1120800458367475.4
48.63335035838956,16141964.091690166,12541576.630806029,3415585288.756763,733481866210992.0
51.581822775438305,7725034.826983041,15929731.712487811,6009034123.859825,1183684697173337.8
59.3400960252367,14721916.713530872,15181222.958892256,2007251405.2080555,1074930579159702.0
38.473866057702885,11811474.069087615,41029307.04816178,9392158700.847248,7854256608083462.0
49.196868127344345,6509128.692685094,16550576.121777883,1225389881.2265182,1274252359551801.2
70.32641355109064,14241686.63853322,10342532.320816621,2439088175.480806,498715493376235.44
41.25616358690339,8217489.964445588,42523598.99973845,9887983944.954483,8440162875597595.0
46.05571566354554,10165964.025676176,17379342.973106533,2573377527.9666452,1408726481330056.8
12.976053878480784,12312464.557121143,12152326.532764427,7714199692.359064,630517723510143.0
55.165068044248926,16224918.460107734,45472564.96393955,582491852.1563807,9121538047932906.0
68.0778615594764,8275221.197634743,11673105.314910088,7038061135.4232435,635372032031449.5
11.537260576264877,15344966.53518038,13003190.870628707,8017807522.01613,709060050119482.1
19.741744139414518,15912702.811333288,19728613.62915754,1017451143.5049949,1771765721661835.8
19.086160530819843,7705472.222338248,13903899.09206634,6074525255.126837,880572229080757.4
28.3864243492202,17559753.33392883,15662455.507254137,4505939271.058123,1138217680829996.2
69.75618887456628,15073022.16371375,19189937.989706233,1617249823.0199704,1716327548789910.0
54.289611859871506,16818986.101001665,15894186.492889045,3120242996.154891,1178359171208518.8
15.880753219989167,13787067.593508512,38514082.981258035,9066227257.603209,6597095265250580.0
56.85168212948177,16731848.91609903,24265193.382228464,4734606963.922403,2747234926187262.5
16.265625777656783,18654910.01225614,22959365.587912813,7322728070.720381,2359838131134173.5
19.637107256220638,13707262.654301714,14388762.540553,8362903484.638187,942635469307530.5
70.15032328765462,5289014.507838601,47759953.34306866,8612259361.271637,1.0647796328807528e+16
37.67882915511838,16810451.029446527,11099698.963292375,6008566269.000758,573863308346496.5
57.33788815458651,15803466.493797176,17721953.823092878,2545181318.8715925,1464980106144642.2
20.40229051267892,14048182.8292325,30590814.122985136,1396851375.4088316,4266782599092346.0
46.24609529823221,14279770.186110683,24626298.484447934,8530468870.27083,2829547370579196.5
54.94636255451147,9898273.794471532,13267737.38478838,5246938240.539901,821042349257711.9
37.63465763404375,13001921.023910472,10144916.542078886,6461212678.898264,479433347588978.6
16.944434304510906,10114009.94910585,48111387.70116981,4479606818.5033245,1.039738330724195e+16
15.142835547758704,18700333.803944428,11175828.155604236,9971672586.738735,553783225385504.9
51.385000164444094,13710556.411762372,10242144.112917814,4099899098.737231,489172192809274.1
32.1722188719887,17829344.732288714,30291618.074260604,1080202265.9067292,4238566473903376.0
69.4100319012967,9063736.57981729,30585750.254491266,4459805132.896589,4363554842650411.5
11.244701707435574,7677798.727921458,26690855.864025448,9199175326.416737,2993741064611094.0
27.672644493583455,9891665.665053014,12288931.097789366,5767489609.573806,700130898247898.5
56.61354336532489,15323487.678434467,10696464.266112156,866707535.5374846,534228036217027.9
26.495575496391925,11005067.224362718,19225591.31790073,1423892278.1124558,1710871587709057.2
27.039186120072475,12408403.829864254,18848487.83134675,6357642802.870261,1647680394931585.2
29.381449191897154,10964889.20078062,39968149.65387604,5543199605.655781,7428609848559499.0
39.300411812344166,13504011.6545309,18499391.86691148,2447950963.325183,1595403181808877.8
